platform,source_id,employee_type,employee_length,employee_location,rating_overall,cleaned_text,vader_score,vader_label,final_sentiment,primary_theme,theme_count,confidence,themes_str,views,would_they_return,human_sentiment,roberta_label,roberta_score,text_fingerprint,executive_theme,executive_theme_method,executive_theme_confidence,override_reason
Glassdoor,1,Current employee,0.0,"Richmond, VA",3.0,interactive leave take whenever long time easy work inhumane draining physically mentally dont micro manage,0.4019,positive,positive,T1_Physical_Degradation,2,HIGH,T1_Physical_Degradation | T4_Supervisor_Inconsistency,,,,,,5642acc2cd33387cf074f9359b6ca6bf06b9854ea1cdca95a34513aa7303d0b9,Workload & Burnout,Direct pipeline map,HIGH,
Glassdoor,2,"Current employee, less than 1 year",1.0,"Brampton, ON",4.0,good easy work enviorment stick rule completing target otherwise get warning remove attitude manager warehouse,0.5267,positive,positive,T4_Supervisor_Inconsistency,1,LOW,T4_Supervisor_Inconsistency,,,,,,cc8d9d97f4ba81f769441cfe4e7affcd91d0d440d153313b0f20ee6aaaba0e48,Management & Communication,Direct pipeline map,LOW,
Glassdoor,3,"Current employee, less than 1 year",1.0,"Bolton, ON",5.0,help grow good pay limited opportunity advancementno clear path promotion,0.8271,positive,positive,T2_Nepotism_Advancement,2,HIGH,T2_Nepotism_Advancement | T3_Pay_Benefits,,,,,,fc93f013db54facb240b1bb1aa31df3cfa33116ddca2f326ceb1917e0f6b0610,Career Growth,Direct pipeline map,HIGH,
Glassdoor,4,Current employees,2.0,"Swedesboro, NJ",3.0,plenty work meet new people tough body labor intensive,-0.128,negative,negative,T1_Physical_Degradation,1,HIGH,T1_Physical_Degradation,,,,,,28e3957e5be9f1a4b90288f86a94d89ee23b549cbaab6b738b8e9c5d47ce82a6,Workload & Burnout,Direct pipeline map,HIGH,
Glassdoor,5,Current employee,0.0,"Whitby, ON",4.0,good holiday pay additional benefit permanent employee hiring permanent employee directly,0.802,positive,positive,T3_Pay_Benefits,2,HIGH,T3_Pay_Benefits | T1_Physical_Degradation,,,,,,bdc8388ac4d8e56518aeebbe04d582772e1fa22ca30b6d11e3e65213783a4f0f,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,6,Former employees,2.0,"Kenosha, WI",3.0,nice people great pay benefit management care employee hour way long,0.9136,positive,positive,T3_Pay_Benefits,2,HIGH,T3_Pay_Benefits | T4_Supervisor_Inconsistency,,,,,,c918f66e1b48e913ef14935dfae20b2e92e4020f10cb49a243e8d1269894dc0c,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,7,Current employees,4.0,"Oklahoma City, OK",4.0,learn lift truck pallet jack flex schedule shift fast paced working environment weight lifting physical strength,0.4939,positive,positive,T3_Pay_Benefits,3,HIGH,T3_Pay_Benefits | T1_Physical_Degradation | T4_Supervisor_Inconsistency,,,,,,88f31bd90ff68337d3bb611080302e17c1b62b8d7f0281af3099879df469d53b,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,8,Current employee,0.0,Not Specified,2.0,decent work wasnt miserable people charge wasnt good,0.0572,positive,positive,T4_Supervisor_Inconsistency,1,HIGH,T4_Supervisor_Inconsistency,,,,,,037b99e0899ca71f3ed596ac0d7a41294544cc966db032d44dd906810c53b8a1,Management & Communication,Direct pipeline map,HIGH,
Glassdoor,9,"Former employee, less than 1 year",1.0,"Clarksville, TN",3.0,good pay long hour management absolutely terrible communicating get better,0.2516,positive,positive,T3_Pay_Benefits,2,HIGH,T3_Pay_Benefits | T4_Supervisor_Inconsistency,,,,,,7b4bfe40e57fd763a82629ce4b6dc1ee57693d67f2cb1f56050c6888d632c0cf,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,10,"Former employee, less than 1 year",1.0,"Appleton, WI",2.0,workout regularly routine habit work life less sleep,0.0,neutral,neutral,T1_Physical_Degradation,1,HIGH,T1_Physical_Degradation,,,,,,483e137fc5fd4352101d957d932623676cf1cacefa63d9dd29098fae5cbd2d87,Workload & Burnout,Direct pipeline map,HIGH,
Glassdoor,11,Former employees,4.0,"Windsor, CT",5.0,tuition reimbursement schedule flexibility benefit salary overtime opportunity standing hour noise safety hazard overworking get write ups meeting rate expectation appreciation employee,0.9231,positive,positive,T3_Pay_Benefits,3,HIGH,T3_Pay_Benefits | T1_Physical_Degradation | T4_Supervisor_Inconsistency,,,,,,422e1dbe824f94b33126ced9f3a5f824ef65b0c69b7dccade45934c860288d0e,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,12,Current employee,0.0,"Sparrows Point, MD",3.0,benefit great start immediately workplace culture bad,0.5574,positive,positive,T4_Supervisor_Inconsistency,1,HIGH,T4_Supervisor_Inconsistency,,,,,,9fed0275c5eddccdd9b192c7cfd196c37231336d6c628598f35d8bfe1a90ec75,Management & Communication,Direct pipeline map,HIGH,
Glassdoor,13,Former employee,0.0,"Ajax, ON",5.0,good pay stressfree hard working nightshift overtime con,0.2732,positive,positive,T3_Pay_Benefits,2,HIGH,T3_Pay_Benefits | T4_Supervisor_Inconsistency,,,,,,2405e72f9de86237a0d457a19c31a8743ee6ad3cdeadfa2e40683ae9314c9b6c,Compensation & Benefits,Direct pipeline map,HIGH,
Glassdoor,14,Current employees,2.0,"Louisville, TN",3.0,day week good benefit usually available physical job prepare tired,0.4588,positive,positive,T3_Pay_Benefits,3,HIGH,T3_Pay_Benefits | T1_Physical_Degradation | T4_Supervisor_Inconsistency,,,,,,09d5f48bccb8dc76f7b7913e599323e272965a11cb2ff45dc48f4bb8e333f9bf,Compensation & Benefits,Direct pipeline map,HIGH,
